[2025-09-19 17:48:11] 串口已打开: COM3 @ 115200, 8N1.0
[2025-09-19 17:48:11] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:12] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:13] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:14] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:15] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:16] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:17] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:18] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:19] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:20] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:21] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:22] [接收] [WiFi] Disconnecting from WiFi!
[2025-09-19 17:48:23] [接收] [WiFi] Disconnecting from WiFi!
